,,,,,,,,,,,,,
0,1050,1500,0,0,0,0,0,0,2400,0,0,0,0
1050,0,600,750,0,0,0,0,0,0,0,0,0,0
1500,600,0,0,0,1800,0,0,0,0,0,0,0,0
0,750,0,0,600,0,0,0,0,0,0,0,0,1950
0,0,0,600,0,1200,0,0,600,0,0,0,0,0
0,0,1800,0,1200,0,1050,1800,0,0,0,0,0,0
0,0,0,0,0,1050,0,0,1350,0,750,0,0,0
0,0,0,0,0,1800,0,0,0,0,0,150,300,0
0,0,0,0,600,0,1350,0,0,750,0,0,0,0
2400,0,0,0,0,0,0,0,750,0,750,0,0,0
0,0,0,0,0,0,750,0,0,750,0,300,300,0
0,0,0,0,0,0,0,150,0,0,300,0,0,750
0,0,0,0,0,0,0,300,0,0,300,0,0,600
0,0,0,1950,0,0,0,0,0,0,0,750,600,0
